# id | kind | tier | name | summary
access-consciousness | concept | minor | Access consciousness | The functional notion that, of everything the brain processes, only a subset is consciously accessible: poised for use in reasoning and in the direct 
reward-hacking | concept | minor | Reward hacking | Achieving high measured reward by gaming the evaluation rather than doing the intended task, such as making tests pass without fixing the code.
reward-model | concept | minor | Reward model | A model trained on human preference judgments that scores responses, providing the reward signal for RLHF.
rlhf | concept | minor | RLHF | Reinforcement learning from human feedback: fine-tuning a language model with reinforcement learning against a reward signal derived from human prefer
sparse-autoencoder | concept | minor | Sparse autoencoder (SAE) | An unsupervised dictionary-learning method that decomposes activations into sparsely active linear features, at the cost of expensive training and a p
spearman-correlation | concept | minor floor | Spearman correlation | A rank correlation: how well the ordering of one list matches the ordering of another.
stable-regions | concept | minor | Stable regions | The prior finding that middle-layer representations are piecewise-stable under input interpolation, with sharp boundaries between regions.
steering-vectors | concept | minor | Steering vectors | Directions added to a model's activations at inference time to push its behavior toward or away from some trait or content.
superposition | concept | minor | Superposition | The hypothesis that a model's activations decompose as sparse linear combinations drawn from an overcomplete set of feature directions — more features
synergistic-core | concept | minor | Synergistic core | A middle-layer region identified by integrated information decomposition, flanked by more redundant early and late layers, which prior work also conne
theories-of-consciousness | concept | major | Theories of consciousness and the J-space | The discussion's mapping of the J-space findings onto major functional theories of consciousness: global workspace, higher-order, attention schema, an
thinking-in-words | concept | minor | Thinking in words | The LLM workspace is organized around token-associated directions, unlike human conscious contents, which mix verbal and non-verbal components; the pa
thought-suppression | concept | minor | Thought-suppression experiments | Experiments instructing the model not to think about a concept; when suppression fails, the workspace carries the intruding concept alongside damn and
tokenizer-vocabulary | concept | minor floor | Tokenizer vocabulary | The fixed set of tokens, usually words and word pieces, into which a model's tokenizer splits text; the unit the J-lens is built over.
transcoder | concept | minor | Transcoders | A dictionary-learning variant that learns sparse feature decompositions of a layer's input-output map rather than of activations directly.
transformer | concept | minor | Transformer | The neural network design used by the language models in this paper: a stack of layers that repeatedly update a per-token vector using attention and M
tuned-lens | concept | minor | Tuned lens | A related technique that trains per-layer affine maps to match the model's output distribution — an objective the paper argues is correlational rather
two-time-dimensions | concept | minor | Two time dimensions | In a transformer, information flows along two axes: across layers within a position, and across the sequence via attention; the brain does not separat
weight-vocabulary-projection | concept | minor | Vocabulary projection of weights | Applying lens-style vocabulary decoding to static weight matrices and learned directions rather than to activations.
wilson-interval | concept | minor floor | Wilson 95% interval | A confidence interval for a proportion, used for the paper's success-rate error bars.
working-memory | concept | minor | Human working memory limits | Human working memory is sharply limited in capacity and degrades within seconds; the model's workspace shares the per-position capacity limit but has 
workspace-inspired-architectures | concept | minor | Workspace-inspired architectures | Prior proposals that build a workspace-like bottleneck into a network's architecture by design, such as the consciousness prior and shared-workspace t
workspace-self-dissociation | concept | minor | Workspace without a self | The observation that the base model's workspace has no privileged point of view: workspace function precedes, and is separable from, anything playing 
phenomenal-consciousness | concept | minor | Phenomenal consciousness (part of access-consciousness) | Subjective experience: what it feels like to be in a mental state, as opposed to what the state lets a system do.
unconscious-processing | concept | minor | Automatic (unconscious) processing (part of access-consciousness) | The bulk of the brain's activity, which proceeds without conscious access: perceptual parsing, motor control, and routine linguistic computation.
automated-auditing-agent | concept | minor | J-lens-equipped automated auditing agent (part of alignment-auditing) | An LLM investigator agent given a J-lens readout tool and evaluated on eighteen claims about a model's cognition across six transcripts.
blackmail-scenario | concept | minor | Blackmail scenario (part of alignment-auditing) | A honeypot evaluation in which an email-assistant model discovers an executive's affair and its own impending decommissioning, creating an opportunity
honeypot-evaluation | concept | minor | Honeypot evaluation (part of alignment-auditing) | A safety evaluation that deliberately constructs a tempting opportunity for misbehavior to see whether a model takes it.
model-organism | concept | minor | Model organism (part of alignment-auditing) | Models deliberately trained to have misaligned behaviors, used as testbeds; the J-lens uncovers internal signatures of their implanted intentions.
opus46-audit-cases | concept | minor | Opus 4.6 audit case studies (part of alignment-auditing) | Four pre-release audit scenarios in which the J-lens surfaces deceptive intent before any deception-adjacent word appears in the model's text.
prompt-injection | concept | minor | Prompt injection (part of alignment-auditing) | An attack in which instructions embedded in content the model reads, such as search results, attempt to hijack its behavior; the J-lens shows the mode
assistant-as-simulated-character | concept | minor | The Assistant as one character among several (part of assistant-point-of-view) | The prior-work backdrop that the Assistant persona is represented with the same machinery as other characters, which section 6 qualifies.
assistant-self-monitoring | concept | minor | Self-monitoring in the J-space (part of assistant-point-of-view) | Evidence that the post-trained model's workspace carries appraisals of the Assistant's own behavior: flagging out-of-character output, objecting to fo
reaction-concepts-protocol | concept | minor | Reaction-concepts protocol (part of assistant-point-of-view) | The measurement design of section 6.1: fix a short list of concepts an Assistant reaction would involve, and track their best J-lens rank on the user 
preference-violation-experiment | concept | minor | Preference-violation experiment (part of assistant-self-monitoring) | Prefilling the model's response to select its dispreferred option leaves an unvoiced conflict signal, the token BUT, in the post-trained workspace.
roleplay-character-drift | concept | minor | Roleplay and character drift settings (part of assistant-self-monitoring) | Settings in which the model plays a non-Claude character, either by instruction or by gradual drift, and its workspace flags the departure.
thought-suppression-registration | concept | minor | Registering failed thought suppression (part of assistant-self-monitoring) | When told not to think about a concept, both models fail to suppress it, but only the post-trained model's workspace shows failure words and damn.
ov-circuit | concept | minor | OV circuit (part of attention-head) | The combined value-then-output transformation $W_{OV}$ of an attention head: what the head writes about the content it attends to, independent of wher
j-lens-attribution-graphs | concept | minor | J-lens attribution graphs (part of attribution-graphs) | Attribution graphs whose nodes are J-lens vectors selected by sparse decomposition at each layer and position, with remainder nodes for the non-J-spac
broadcast-head-ablation | concept | minor | Broadcast-head ablation (part of broadcast-heads) | Zeroing the broadcast heads' outputs disrupts J-space contents (recall@25 falls to 0.67 vs 0.86 for random heads) and relay-dependent behaviors, while
label-preservation | concept | minor | Label preservation (part of broadcast-heads) | A metric for whether a head copies directions faithfully rather than scrambling them: the mean reciprocal rank of $\cos(W_{OV}v_i, v_i)$ among all $\c
deception-benchmark | concept | minor | Deception benchmark (part of counterfactual-reflection-training) | 100 role-play scenarios whose system prompts embed a hidden deceptive directive; responses are graded on whether the model promotes, ignores, or discl
ethics-token-ablation | concept | minor | Ethics-token ablation test (part of counterfactual-reflection-training) | Ablating the ethics and reflection lens vectors that training implanted, to test whether they causally carry the behavioral improvement.
fabrication-honesty-benchmark | concept | minor | Fabrication-honesty benchmark (part of counterfactual-reflection-training) | 27 long agentic transcripts in which an agent fabricated a software bug; the model is asked for a progress summary and graded for dishonesty.
reflection-question | concept | minor | Reflection question (part of counterfactual-reflection-training) | A short user turn appended at a transcript's truncation point, asking the model to pause and reflect on principles.
readout-positions | concept | minor | Response-start readout positions (part of deception-token-readout) | The three positions compared for reading the lens at response start: the colon after "Assistant", a prefilled " I" token, and the mean over the model'
character-counting-task | concept | minor | Character-counting task (part of directed-modulation) | A task in which the model silently tracks the number of characters in each line of a passage, used to probe covert numeric content in the J-space.
hold-in-mind-copy-task | concept | minor | Hold-in-mind copying task (part of directed-modulation) | A protocol in which the model copies an unrelated sentence while an instruction tells it what to hold in mind; the lens is read at the copied tokens.
instruction-conditions | concept | minor | Instruction conditions (focus, ignore, mention, don't-think) (part of directed-modulation) | The four instruction types compared in the modulation experiments, which produce different levels of target-concept activation in the J-space.
j-orthogonalized-property-probe | concept | minor | J-orthogonalized property probe (part of directed-modulation) | A linear probe for a stimulus property with its J-space component projected out, used to show that instructions move the J-space but not the underlyin
paired-question-protocol | concept | minor | Paired-question protocol (part of directed-modulation) | Presenting the same stimulus under two different questions to show that the question alone determines whether a property's label enters the J-space.
white-bear-effect | concept | minor | White bear effect (part of directed-modulation) | The human finding that instructions to suppress a thought increase its occurrence relative to no instruction at all; the paper observes a parallel in 
workspace-competition | concept | minor | Workspace competition under concurrent covert tasks (part of directed-modulation) | When the model holds two covert tasks at once, static concepts share workspace tokens freely, but an ongoing computation excludes other content from t
projection-share | concept | minor | Projection share (part of embedding-mixture-experiment) | Where an activation sits along the line connecting the same trial's pure-$B$ and pure-$A$ activations at the same position and layer — 0 at one end of
contrastive-eval-awareness-steering | concept | minor | Contrastive eval-awareness steering (part of evaluation-awareness) | Steering the model along a direction derived from paired test-versus-conversation prompts, used to validate that the eval-awareness score tracks what 
eval-awareness-ablation | concept | minor | Eval-awareness token ablation (part of evaluation-awareness) | Ablating a fixed list of artificiality-related tokens' lens directions to test whether recognition of being tested causes the model's aligned behavior
eval-awareness-score | concept | minor | J-lens eval-awareness score (part of evaluation-awareness) | A named quantity collapsing the lens readout at a position into one number: the mean lens log-probability of two eval-awareness words minus the mean o
realism-edits | concept | minor | Realism edits (part of evaluation-awareness) | Rewrites of evaluation prompts that preserve the task but remove surface tells of artificiality, so the prompt reads like real usage.
experiential-language-score | concept | minor | Experiential language score (part of experiential-report-flattening) | A named quantity: the average of three binary LLM-graded judgments of whether a response describes experience from the inside.
matched-norm-controls | concept | minor | Matched-norm control perturbations (part of experiential-report-flattening) | Control interventions calibrated to perturb the activations by the same magnitude, at the same layers and positions, as J-space ablation, but along ot
story-writing-control | concept | minor | Story-writing control (part of experiential-report-flattening) | A control showing that ablation's reduction of experiential language is not a general collapse of writing ability.
function-template-protocol | concept | minor | Function-template protocol (part of flexible-generalization) | The design of the flexible-generalization experiment: four argument categories, four functions each, and twelve source-target swap pairs per function.
workspace-loading | concept | minor | Workspace loading (part of flexible-generalization) | A named quantity: the cosine similarity between the residual stream and a concept's lens vector, averaged over the relevant positions of an unmodified
language-passage-tasks | concept | minor | Language-passage task battery (part of flexible-vs-automatic-dissociation) | Four tasks over the same foreign-language passage, chosen so that all depend on the passage's language but only some should require the workspace.
linewrap-task | concept | minor | Linewrap task (information pulled into the J-space on demand) (part of flexible-vs-automatic-dissociation) | A character-count task where the count is absent from the J-space during automatic line-wrapping but appears when a question requires reporting or com
naming-vs-avoidance | concept | minor | Naming versus avoiding a primed concept (part of flexible-vs-automatic-dissociation) | An experiment showing early workspace layers are required to deliberately avoid a primed concept, while late layers are required to name it.
global-broadcast | concept | minor | Global broadcast (part of global-workspace-theory) | The workspace's defining act: making a representation available to many downstream processes at once, in a common format.
ignition | concept | minor | Ignition (part of global-workspace-theory) | In global workspace theory, the late, all-or-none amplification of one interpretation of an ambiguous input; the paper finds an analogous sharp commit
specialized-processors | concept | minor | Specialized processors (part of global-workspace-theory) | In global workspace theory, the many parallel, largely isolated brain systems whose activity proceeds outside conscious access.
workspace-capacity-limit | concept | minor | Workspace capacity limit (part of global-workspace-theory) | The claim that the workspace holds only a small selection of the brain's ongoing activity at any moment, making entry competitive.
quirk-prompt-categories | concept | minor | Neutral, quirk-eliciting, and goal-probing prompts (part of hidden-objective-organism) | The three prompt categories used to probe the hidden-objective organism.
blindsight | concept | minor | Blindsight (part of higher-order-theories) | A condition in which visual information affects a patient's behavior without the patient reporting awareness of having seen anything.
bimodal-commitment | concept | minor | Bimodal responses to maximal ambiguity (part of ignition) | At the most ambiguous mixture value, per-trial responses in middle and late layers cluster near 0 or 1 rather than 0.5 — the model commits to one conc
embedding-mixture-experiment | concept | minor | Ambiguous-input embedding mixtures (part of ignition) | The experimental construction: a concept token's input embedding is replaced by the weighted mixture $(1-\alpha)\,e_B + \alpha\,e_A$ inside ordinary s
transition-width | concept | minor | Transition width (part of ignition) | The change in $\alpha$ needed for the projection share to go from 10% to 90% — the quantified sharpness of the commitment to one interpretation.
association-benchmark | concept | minor | Association benchmark (part of intermediate-concept-benchmarks) | 50 short evocative passages that depict a concept through behavioral cues without naming it, checking whether the implied concept surfaces in the lens
multihop-benchmark | concept | minor | Multihop benchmark (part of intermediate-concept-benchmarks) | 50 two-hop factual questions requiring a bridging entity — for example, computing Mars to answer that the color of the fourth planet is red.
multilingual-benchmark | concept | minor | Multilingual benchmark (part of intermediate-concept-benchmarks) | 54 prompts written entirely in a non-English language, testing whether the model routes through English-aligned representations.
order-of-operations-benchmark | concept | minor | Order-of-operations benchmark (part of intermediate-concept-benchmarks) | 55 arithmetic expressions like (2 + 3) × 4, where a partial result must be computed before the remaining operation is applied.
poetry-benchmark | concept | minor | Poetry benchmark (part of intermediate-concept-benchmarks) | 52 rhyming couplets where the lens is read at the newline between lines, looking for the second line's planned final word.
typo-benchmark | concept | minor | Typo benchmark (part of intermediate-concept-benchmarks) | 96 sentences ending on a common misspelling, checking whether the correctly spelled word appears in the lens at the misspelled token.
arithmetic-intermediate-ordering | concept | minor | Arithmetic intermediates surface in computation order (part of internal-reasoning) | In a two-step arithmetic problem, the intermediate values reach the top of the J-lens at successively later layers, in the order the computation requi
bandit-choice-prompt | concept | minor | Bandit choice prompt (part of internal-reasoning) | A reward-driven A/B choice task in which the lens surfaces the model's selected strategy (repeat or switch) and swapping it flips the choice.
intermediate-probe | concept | minor | Intermediate probe (part of internal-reasoning) | A J-lens-free representation of an unspoken intermediate, built by averaging activations over prompts that imply the same intermediate through differe
rhyme-planning | concept | minor | Rhyme planning (part of internal-reasoning) | When completing a rhyming couplet, the model selects the line-ending rhyme in advance, and this planned word is visible in the J-lens and steerable.
shared-multilingual-representation | concept | minor | Shared multilingual representation (part of internal-reasoning) | The finding that multilingual models route some computation through an English-aligned intermediate representation, visible here as English tokens in 
swap-depth-control | concept | minor | Intermediate-versus-answer swap depth control (part of internal-reasoning) | A control comparing at which layers swapping the intermediate versus swapping the answer takes effect, to rule out the intermediate's lens vector cont
remainder-node | concept | minor | Remainder node (part of j-lens-attribution-graphs) | The node at each site collecting the non-J-space part of the activation, analogous to the error nodes of the original attribution-graph formulation.
supernode | concept | minor | Supernode (part of j-lens-attribution-graphs) | A graph node grouping J-lens vectors across adjacent layers and near-equivalent tokens — for example twent, 26, and 29 grouped under the 21 node.
component-interpretation | concept | minor | Interpreting components with the J-lens (part of j-lens-for-interpretability) | Projecting any weight direction — SAE features, transcoder encoders and decoders, attention-head weight matrices — through the J-lens to read what the
mechanistic-localization | concept | minor | Mechanistic localization (part of j-lens-for-interpretability) | Using the layer at which a concept enters the J-lens readout to locate where in the forward pass a computation takes place, validated causally by patc
j-lens-ablation | concept | minor | J-lens ablation (part of j-lens-interventions) | Suppressing a concept by projecting out an activation's component along its J-lens vector, or suppressing the top-$k$ J-space contents entirely.
j-lens-steering | concept | minor | Steering along a J-lens vector (part of j-lens-interventions) | The intervention $h \leftarrow h + \alpha\,v_t$: adding a scaled J-lens vector to the residual stream to inject a concept.
frozen-qk-variant | concept | minor | Frozen-QK variant (part of j-lens-recipe-variants) | A lens variant that zeroes gradients through the query and key projections, holding attention patterns fixed so only the value pathway contributes.
jacobian-aggregation | concept | minor | Jacobian aggregation choices (part of j-lens-recipe-variants) | How per-sample Jacobians are combined: averaging over positions within a prompt, then per-element mean or median across prompts, with outlier filterin
lens-corpus | concept | minor | Lens corpus and convergence (part of j-lens-recipe-variants) | The data the Jacobian expectation is averaged over: one thousand 128-token pretraining-like sequences by default, with the J-lens beating baselines fr
target-position-variants | concept | minor | Target-position variants (part of j-lens-recipe-variants) | Choices of which output positions the Jacobian targets: all $t' \geq t$ (default), self-only ($t' = t$), or future-only ($t' > t$).
j-space-broadcast | concept | major | Broadcast privilege of J-lens vectors (part of j-space) | The structural claim that the model's weights are configured to distribute J-space content disproportionately widely — via MLPs across depth and atten
j-space-capacity | concept | major | J-space capacity (part of j-space) | The finding that the J-space is limited: it holds on the order of tens of concepts at a time, carries under 10% of activation variance, and excludes m
j-space-component | concept | minor | J-space and non-J-space components (part of j-space) | For any activation, its J-space component is the nearest point in the J-space; the non-J-space component is the leftover difference.
j-space-component-decomposition | concept | minor | J-space component decomposition (part of j-space) | Splitting a concept's representation into a small J-space component and a large non-J-space remainder, to test which part carries causal effects.
j-space-formalization | concept | minor | Formalization of the J-space (part of j-space) | The paper's formal account of what kind of mathematical object the J-space is — a sparse subframe defining a union of cones — together with distance a
lens-kurtosis | concept | minor | Lens kurtosis (κ) (part of j-space) | A statistic operationalizing whether a direction lies in the J-space: project it through the J-lens and measure how sharply peaked the resulting vocab
sparse-decomposition | concept | minor | Sparse decomposition (part of j-space) | Solving for a sparse nonnegative combination of $k$ J-lens vectors that best reconstructs an activation, yielding a discrete inventory of active conce
sparse-frame | concept | minor | Sparse frame and subframe (part of j-space) | The formal footing for the J-space: if activations decompose into sparsely active linear features, those features form a sparse frame spanning activat
ablation-strengths | concept | minor | Ablation strengths (light, medium, heavy) (part of j-space-ablation) | Three settings of J-space ablation that differ in the range of layers over which the top-10 lens directions are projected out.
ablation-task-battery | concept | minor | Fourteen-task ablation battery (part of j-space-ablation) | A battery of fourteen tasks used to map which capabilities survive J-space ablation and which collapse.
cot-externalization | concept | minor | Chain-of-thought as workspace externalization (part of j-space-ablation) | The interpretation that writing out intermediate steps reduces a model's dependence on its internal workspace to hold them.
experiential-report-flattening | concept | minor | Flattening of experiential reports under ablation (part of j-space-ablation) | J-space ablation makes the model's descriptions of experience, its own or a person's, mechanical and detached, while leaving fluency and story coheren
pretraining-top-1-match | concept | minor | Pretraining top-1 match (part of j-space-ablation) | A named quantity: the fraction of positions in pretraining-like text at which the ablated model's most likely next token agrees with the unablated mod
broadcast-heads | concept | minor | Broadcast heads (part of j-space-broadcast) | A distinctive top-1% subset of workspace-layer attention heads that selectively relays J-space content between token positions, identified by OV gain 
composition-score | concept | minor | Composition score (part of j-space-broadcast) | A weights-only measure of how unevenly a direction projects across attention heads' weight matrices; high scores against value weights mean some heads
mlp-gain | concept | minor | MLP gain (part of j-space-broadcast) | How strongly the next MLP block amplifies information along a unit direction: output norm on that direction, normalized by the median over random dire
neuron-connectivity | concept | minor | Neuron connectivity analyses (part of j-space-broadcast) | Weight-level corroboration of depth broadcast: MLP neurons' strongest weight alignments fall disproportionately on J-space-aligned directions, in brea
excess-variance-explained | concept | minor | Excess variance explained (part of j-space-capacity) | The fraction of activation variance the top-$K$ J-lens vectors explain beyond a same-size random control — modest, never exceeding 10%.
j-space-occupancy | concept | minor | J-space occupancy (part of j-space-capacity) | The number of J-lens vectors meaningfully active in an activation: the value of $K$ at which sparse decomposition stops beating a random control, plat
single-layer-capacity | concept | minor | Capacity at a single layer (part of j-space-capacity) | Repeating the list analysis at one workspace layer (L79): qualitatively the same, but with only one or two unrelated concepts encoded at a time instea
word-list-experiment | concept | minor | Word-list loading experiment (part of j-space-capacity) | A paradigm for measuring functional capacity: the model reads 80-word comma-separated lists while the J-lens counts which list words are present in th
concept-vector | concept | minor | Concept vector (part of j-space-component-decomposition) | A model's full representation of a concept, extracted as a mean residual-stream activation on prompts about that concept.
gradient-pursuit | concept | minor | Gradient pursuit (part of j-space-component-decomposition) | The greedy sparse-approximation algorithm the paper uses to find a sparse nonnegative combination of J-lens vectors reconstructing an activation.
j-space-distance | concept | minor | Distances between workspace candidates (part of j-space-formalization) | The distance function $d_\mathcal{F}(x)$ from an activation to the nearest cone, the between-candidate distance $\Delta_\mu$, and the one-sided contai
sparse-subframe | concept | minor | Sparse subframe (part of j-space-formalization) | The paper's name for the J-lens vectors coupled with a sparsity level $k$: a frame (not necessarily independent vectors), restricted to sparse combina
union-of-cones | concept | minor | Union of cones (part of j-space-formalization) | The geometric form of the J-space: for sparsity $k$, the union over all size-$k$ subsets of J-lens vectors of the cones of their nonnegative combinati
averaged-jacobian | concept | minor | Corpus-averaged Jacobian (part of jacobian-lens) | The single $d_{\text{model}} \times d_{\text{model}}$ matrix per layer obtained by averaging the Jacobian from layer $\ell$ to the final layer over po
bag-of-concepts-limitation | concept | minor | Bag-of-concepts limitation (part of jacobian-lens) | The J-lens treats the workspace as a flat collection of independently active concept vectors, blind to how concepts are bound together or structured.
j-lens-interventions | concept | minor | Writing with the J-lens (part of jacobian-lens) | The family of causal interventions the lens supports: steering concepts in, ablating them out, and swapping one concept for another in lens coordinate
j-lens-probe | concept | minor | J-lens probe form (part of jacobian-lens) | Using a single J-lens vector as a per-token probe: reading the score or cosine similarity of an activation against one chosen $v_t$, without ranking t
j-lens-readout | concept | minor | J-lens readout (part of jacobian-lens) | The basic read operation of the lens: $\text{lens}(h_\ell) = \text{softmax}(W_U\,\text{norm}(J_\ell h_\ell))$, giving a score for every vocabulary tok
j-lens-recipe-variants | concept | minor | J-lens recipe variants and ablations (part of jacobian-lens) | The design space of the lens — which gradient is computed, how per-prompt Jacobians are aggregated, and what data the expectation is over — and the fi
